priority_id,organisation,country,city,sector,entry_point,public_phone,public_email_or_form,physical_address_or_location,source_url,source_confidence,opportunity_angle,first_ask,verification_status,next_action
P01,Federation of Uganda Football Associations (FUFA),Uganda,Kampala,Football / official sports body,"Administration / media / development / AFCON referral route","+256312290403; +256312290412",admin@fufa.co.ug,"FUFA House, Plot No. 879 Albert Cook Road-Mengo; P.O. Box 22518 Kampala","https://fufa.co.ug/contact-us/",High,"Official football gateway; request referral to AFCON 2027 cultural programming, fan experience, ceremonies, media accreditation or LOC contacts","Request a short introductory meeting or referral to AFCON 2027 LOC / fan engagement / ceremonies / cultural programming desk",Verified from official FUFA contact page,"Send formal intro letter + one-page profile + concept note"
P02,Uganda Tourism Board (UTB),Uganda,Kampala,Tourism / destination marketing,"Tourism marketing / visitor experience / Meet in Uganda / licensing and registered tourism businesses","+256-414-560-800; 0414 560 800; 041 4342196; 041 4342197","Contact form / protected email on official site; verify exact email manually","6th Floor, Block C, Lugogo House, Plot 42 Lugogo Bypass (Rotary Avenue), Lugogo, Kampala; P.O. Box 7211 Kampala","https://utb.go.ug/contact-us/",High for phone/address; Medium for email because page protects email,"Core tourism gateway; request guidance on AFCON visitor experience, cultural tourism, diaspora tourism and tourism-business readiness","Request meeting with tourism marketing / visitor experience / events or partnerships desk",Partially verified from official UTB contact page,"Call switchboard and request correct department email before sending attachments"
P03,Kampala Capital City Authority (KCCA),Uganda,Kampala,City authority / public events / Kampala visitor experience,"Gender Community Services and Production; Education and Social Services; Events Calendar; Visit Kampala; citizen feedback","0417 900 100; 0800 199 000",info@kcca.go.ug,"City Hall, Plot 1-3, Apollo Kaggwa Road; P.O. Box 7010 Kampala","https://kcca.go.ug/",High,"Kampala city activations, fan-zone-adjacent cultural programming, public-space events, city visitor experience and creative economy links","Request referral to events, community services, tourism/Visit Kampala, public-space activation or city cultural programming desk",Verified from official KCCA homepage,"Send brief intro first; ask for correct department before sending full concept note"
P04,Ministry of Tourism Wildlife and Antiquities (MTWA),Uganda,Kampala,Government tourism / heritage policy,"Department of Tourism Development; Department of Museums and Monuments","Not verified in current search","Not verified in current search","2nd Floor, Rwenzori Towers, 6 Nakasero Road, Kampala","https://en.wikipedia.org/wiki/Ministry_of_Tourism%2C_Wildlife_and_Antiquities_%28Uganda%29",Medium; public profile but official contact page not captured,"Policy-level tourism and heritage gateway; request guidance on AFCON cultural tourism and visitor economy readiness","Request appointment or referral to Tourism Development / Museums and Monuments desk",Needs official confirmation,"Verify current phone/email from official ministry directory or call Rwenzori Towers reception"
P05,Uganda National Cultural Centre / National Theatre,Uganda,Kampala,Culture / arts / performance,"Management / programming / National Theatre / Nommo Gallery / cultural programming","Not verified in current search","Not verified in current search","Corner of Said Barre Avenue and De Winton Street, Kampala","https://en.wikipedia.org/wiki/Uganda_National_Cultural_Centre",Medium; public profile but official contact page not captured,"Cultural programming, performance venue, choreography, national creative-sector gateway, possible pilot venue or artistic partner","Request meeting with programming / management team to discuss AFCON 2027 cultural experience collaboration",Needs official confirmation,"Physically verify office contacts or identify current official website/social channels before sending formal package"
P06,Uganda Museum / Department of Museums and Monuments,Uganda,Kampala,Heritage / museum / cultural tourism,"Museum education / heritage interpretation / visitor experience","Not verified in current search","Not verified in current search","Plot 5 Old Kira Road, Kitante Hill, Kampala","http://www.ugandamuseums.ug/",Medium; public profile found but official site could not be safely opened through tool,"Heritage route, cultural storytelling, visitor orientation, museum-linked tourism content for AFCON visitors","Request guidance on heritage storytelling and possible cultural-route pilot",Needs official confirmation,"Visit/call museum office and verify current contact person before outreach"
P07,Uganda Convention Bureau / Meet in Uganda,Uganda,Kampala,MICE / events / destination conferencing,"Meet in Uganda / convention and events tourism route","Route through UTB until direct contact verified","Route through UTB until direct contact verified","Linked from UTB site to Meet in Uganda","https://utb.go.ug/contact-us/",Medium; linked through UTB official site,"Events tourism and high-value visitor-experience gateway; possible sponsor/VIP/diaspora event linkage","Ask UTB for the correct Uganda Convention Bureau contact for AFCON-linked cultural hospitality or side events",Needs direct verification,"Use UTB as entry point; verify UCB contact before sending separate proposal"
P08,Uganda Wildlife Authority (UWA),Uganda,Kampala,Wildlife tourism / national parks,"Tourism product and visitor-experience route for AFCON visitors","Not verified in current search","Not verified in current search","Plot 7 Kira Road, Kamwokya, Kampala","https://www.ugandawildlife.org/",Medium; public profile found but current contact page not captured,"Safari and national-park add-on experiences for visiting fans; cultural-tourism package alignment","Request referral to tourism/product-development or marketing team",Needs official contact verification,"Open or call official UWA contact page directly before sending attachments"
P09,Hotel / hospitality cluster Kampala-Entebbe,Uganda,Kampala / Entebbe,Hospitality / visitor entertainment,"General managers / events managers / guest experience / concierge teams","To verify hotel by hotel","To verify hotel by hotel","Kampala and Entebbe priority hotels","To be populated from official hotel websites",Low until hotel-by-hotel verification,"Hotel cultural evenings, VIP hospitality activations, café arts pop-ups, visitor entertainment","Request 20-minute meeting with events or guest-experience manager",Needs research,"Build hotel list from UTB licensed accommodation facilities and official hotel websites"
P10,Event / creative agency cluster,Uganda,Kampala,Events / experiential marketing / production,"Creative directors / production managers / brand activation teams","To verify company by company","To verify company by company","Kampala creative and event-production ecosystem","To be populated from company websites and referrals",Low until company-by-company verification,"Subcontracting, choreography, stage direction, ceremonies, brand activations and fan-zone programming","Request portfolio introduction and ask whether they are preparing AFCON-related pitches",Needs research,"Ask warm contacts for top 10 event companies likely to pitch AFCON work"
P11,Diaspora / UK-Uganda creative networks,UK / Uganda,London / Kampala,Diaspora creative economy,"Diaspora associations / cultural institutions / creative producers / Uganda High Commission route","To verify network by network","To verify network by network","London and Kampala bridge","To be populated from official network websites",Low until verified,"Diaspora cultural reception, UK-Uganda creative bridge, sponsor and media visibility","Request introductions to diaspora event/culture/tourism stakeholders",Needs research,"Use Rachael's existing professional network first; avoid cold diaspora lists until verified"
