Step,Timing,Target Group,Channel,Message Asset,Call To Action,Follow Up Timing,Success Signal,If No Response,Notes
1,Day 1-2,Known warm contacts,WhatsApp,Short intro message,Ask for referral to correct decision-maker,2-3 days,Contact offers name or department,Send polite follow-up once,Start with warm introductions before cold emails.
2,Day 3-5,Official football and sport institutions,Email + formal letter,Formal introduction letter,Request guidance on official AFCON culture/tourism channel,5-7 working days,Reply naming department/contact,Try another public channel or referral,Do not imply official AFCON role is secured.
3,Day 5-8,Tourism and culture institutions,Email + LinkedIn/WhatsApp if available,Formal letter + one-page profile,Request meeting or attachment/shadowing guidance,5-7 working days,Meeting or phone call offered,Follow with concise concept summary,Lead with tourism learning and cultural value.
4,Day 8-12,Hotels and hospitality venues,Email/WhatsApp via referral,One-page profile + concept summary,Request exploratory meeting with events/marketing team,4-6 working days,Events team asks for details,Offer sample cultural evening concept,Private sector may respond faster.
5,Day 12-16,Event companies and creative agencies,LinkedIn/WhatsApp/email,Profile + portfolio link,Request collaboration or associate creative consultant discussion,4-6 working days,They request portfolio or meeting,Send portfolio and concept note,Position as value-add not job seeker.
6,Day 16-20,Tour operators and destination marketers,Email/WhatsApp,Research questions + profile,Request learning meeting about AFCON visitor packages,5-7 working days,They explain packages or invite discussion,Ask for referral to active operators,Useful for cafe arts visitor research.
7,Day 20-24,Culture venues/galleries/cafes,In-person/WhatsApp/email,Pilot concept summary,Request small pilot conversation,3-5 working days,Venue open to pop-up discussion,Visit venue and log observations,Best path to quick portfolio evidence.
8,Day 24-30,Media and storytelling contacts,Email/WhatsApp,Short media bio + angle,Pitch story on diaspora creative value for AFCON,5-7 working days,Journalist asks for interview/details,Try culture/sports/lifestyle desk,Only after profile is polished.
9,Week 5-8,Sponsors and brands,Email through referrals,Concept note + sponsor angle,Request brand activation conversation,7 working days,Marketing team requests proposal,Prepare budget-lite version,Approach after early credibility is built.
10,Week 8-12,Regional Kenya/Tanzania contacts,Email/LinkedIn,Short profile + regional concept,Request learning exchange/referral,7-10 working days,Regional contact suggests route,Monitor official channels,Secondary after Uganda base is active.
