queue_id,organisation,missing_information,why_it_matters,how_to_verify,priority,status,assigned_to,notes
V01,Uganda Tourism Board,Exact public email address or correct departmental email,"The official site protects email addresses; phone and address are verified but attachments should not be sent to a guessed email.",Call +256-414-560-800 and ask for partnerships/events/visitor experience email,High,Open,To assign,"Use UTB switchboard first; ask for Meet in Uganda/UCB route too."
V02,Ministry of Tourism Wildlife and Antiquities,Current official phone email and correct desk for Tourism Development / Museums and Monuments,"This is a policy-level route; wrong contact will slow progress.",Call ministry reception or verify from official government directory,High,Open,To assign,"Do not rely only on old web profiles."
V03,Uganda National Cultural Centre / National Theatre,Current programming manager or official office contact,"Rachael's strongest cultural-performance route may sit here; needs direct programming contact.",Physically visit National Theatre office or verify official phone/social pages,High,Open,To assign,"Ask for programming/management/admin email."
V04,Uganda Museum,Current museum education/programming/visitor-experience contact,"Heritage route and cultural-tourism concept need a real museum contact.",Call/visit Uganda Museum reception and verify current contact,Medium,Open,To assign,"Record full name, title, email, phone and preferred channel."
V05,Uganda Convention Bureau / Meet in Uganda,Correct events/MICE contact,"Potential route for high-value side events, VIP hospitality and conference-style visitor events.",Ask UTB for direct contact or confirm via Meet in Uganda official site,Medium,Open,To assign,"Do not send proposal until direct route is verified."
V06,Uganda Wildlife Authority,Current tourism/product-development/marketing contact,"Useful for fan tourism add-ons and package alignment.",Open official UWA contact page or call headquarters,Medium,Open,To assign,"Start after FUFA/UTB/KCCA/UNCC."
V07,Kampala-Entebbe priority hotel list,Top 10 hotels and events managers,"Hotels can move faster and may host fans, teams, sponsors and media.",Use UTB licensed accommodation list and hotel websites; call each venue,High,Open,To assign,"Create separate hotel outreach CSV after verification."
V08,Event and creative agency list,Top 10 agencies likely to pitch AFCON work,"Agencies may become subcontracting route for creative direction, choreography and fan-zone activations.",Use referrals, LinkedIn, past event credits and official websites,High,Open,To assign,"Do not assume agencies are connected to AFCON; ask if they are preparing pitches."
V09,Diaspora creative network list,Relevant UK-Uganda creative and cultural networks,"Rachael's UK-Uganda positioning is a strength but networks must be real and relevant.",Start from Rachael's existing network; verify official association contacts,Medium,Open,To assign,"Warm introductions preferred."
V10,Cafe/gallery pilot venues,Five venues suitable for a small AFCON cafe-arts pop-up,"Pilot venue helps convert concept into evidence.",Conduct field visits; record capacity costs ambience audience and management contact,High,Open,To assign,"Prioritise venues with stage/performance or gallery capability."
