Category,Institution or Contact,Country,Contact Person,Role or Department,Email,Phone,Relationship/Warm Intro,Opportunity Type,Priority,Date Contacted,Follow-Up Date,Status,Next Action,Notes
Official Football,FUFA,Uganda,,,,,Needed,"Creative consulting, choreography, cultural programming, fan-zone experience",High,,,,"Identify correct AFCON/local organising contact",
Government Sport,Ministry of Education and Sports,Uganda,,,,,Needed,"AFCON planning, ceremonies, visitor/event coordination",High,,,,"Request guidance on official channels",
Tourism,Ministry of Tourism Wildlife and Antiquities,Uganda,,,,,Needed,"Tourism-sector learning, visitor experience, cultural tourism",High,,,,"Request meeting or attachment guidance",
Tourism,Uganda Tourism Board,Uganda,,,,,Needed,"Destination marketing, cultural tourism, diaspora visitors",High,,,,"Send intro letter and concept note",
Culture,Uganda National Cultural Centre / National Theatre,Uganda,,,,,Needed,"Cultural programming, performance direction, youth mentorship",High,,,,"Request programme discussion",
Culture,Uganda Museum,Uganda,,,,,Needed,"Heritage storytelling, visitor orientation, culture tours",Medium,,,,"Request meeting with programming/education team",
City,Kampala Capital City Authority,Uganda,,,,,Needed,"City activations, public cultural programming, visitor experience",High,,,,"Identify events/culture/tourism contact",
Hospitality,Hotel Group 1,Uganda,,,,,Needed,"Hotel cultural nights, VIP hospitality activations",High,,,,"Send short email and one-page profile",
Hospitality,Hotel Group 2,Uganda,,,,,Needed,"Cultural entertainment, diaspora guest experiences",Medium,,,,"Request programming meeting",
Tourism,Tour Operator 1,Uganda,,,,,Needed,"Cultural routes, visitor packages, cafe arts linkages",Medium,,,,"Ask about AFCON visitor packages",
Events,Event Company 1,Uganda,,,,,Needed,"Production, stage management, sponsor activation support",High,,,,"Request collaboration meeting",
Creative,Creative Agency 1,Uganda,,,,,Needed,"Brand activations, fan-zone concepts, content",Medium,,,,"Send profile and concept summary",
Media,Media House 1,Uganda,,,,,Needed,"Storytelling, diaspora feature, cultural visibility",Medium,,,,"Pitch feature/interview angle",
Sponsor,Telecom/Bank/Beverage Brand,Uganda,,,,,Needed,"Sponsor activation and cultural showcase",Medium,,,,"Approach via brand/marketing department",
Regional,Kenya Tourism Board,Kenya,,,,,Needed,"Regional cultural tourism learning",Low,,,,"Monitor regional opportunities",
Regional,Tanzania Tourist Board,Tanzania,,,,,Needed,"Regional cultural tourism learning",Low,,,,"Monitor regional opportunities",
Diaspora,UK-Uganda Cultural Network,UK/Uganda,,,,,Needed,"Diaspora creative tourism, visitor reception, partnership",High,,,,"Use Rachael's UK-Uganda positioning",
Cafe Arts,Local Cafe/Gallery/Venue,Uganda,,,,,Needed,"Cafe arts pop-up pilot, performance night, visitor experience",High,,,,"Identify pilot venue",
