Time Block,Activity,Lead,Support,Guest Experience Objective,Technical Needs,Notes
00:00-00:15,Guest arrival and welcome,Host,Venue team,Create warm arrival and registration experience,Welcome desk; music playlist; signage,Collect guest names and feedback consent if needed.
00:15-00:25,Opening remarks,Host/Rachael,Venue owner or partner,Frame football culture tourism and cafe arts purpose,Microphone if needed,Keep remarks short and elegant.
00:25-00:40,Acoustic music or DJ cultural set,Musician/DJ,Sound support,Set atmosphere and cultural identity,Speakers; playlist; performance area,Choose music appropriate to venue and audience.
00:40-00:55,Short movement/dance performance,Dance group/Rachael,Stage assistant,Showcase Ugandan movement and contemporary cultural creativity,Clear floor space; sound cue,Can be intimate not large-scale.
00:55-01:10,Food/drink tasting or menu spotlight,Venue/chef,Host,Connect hospitality to cultural tourism,Menu cards; tasting portions,Useful for future cafe arts business learning.
01:10-01:25,Football Meets Culture conversation,Moderator,Rachael/guest speaker,Discuss AFCON tourism culture and creative economy,Chairs; mic; 2-3 questions,Keep conversational.
01:25-01:40,Art/fashion/craft showcase,Artist/designer,Host,Give visibility to creative entrepreneurs,Display table; lighting,Can include a few curated pieces.
01:40-01:55,Networking and photos,Host,Photographer,Build relationships and documentation,Photo corner; permission reminders,Capture approved content only.
01:55-02:05,Closing remarks and next steps,Host/Rachael,Project team,Invite feedback and future participation,Feedback form/QR code,Collect contacts for follow-up.
02:05-02:30,Informal networking,All,Venue team,Allow organic connections,Music; refreshments,Useful for stakeholder conversations.
