Priority,Category,Stakeholder,Country,City/Region,Target Department or Role,Opportunity Lane,Recommended First Ask,Asset to Send,Relationship Route,Verification Status,Contact Person,Email,Phone,Status,Next Action,Notes
High,Official Football,FUFA,Uganda,Kampala,AFCON/local organising liaison; events; communications; competitions,"Culture programming; fan-zone experience; ceremony concepts; choreography",Request guidance on official AFCON culture/tourism contact,"One-page profile; formal intro letter; concept note",Warm intro preferred,Needs verification,,,,Not contacted,Identify official AFCON-linked contact,"Do not assume FUFA is recruiting for culture roles; ask for correct channel."
High,Government Sport,Ministry of Education and Sports,Uganda,Kampala,Sports planning; major events; national teams,"Ceremony planning; sport-culture link; national presentation",Request referral to AFCON planning or local organising structure,"Formal intro letter; one-page profile",Formal letter,Needs verification,,,,Not contacted,Identify major events office,"Use respectful government language."
High,Tourism,Ministry of Tourism Wildlife and Antiquities,Uganda,Kampala,Tourism development; heritage; visitor experience,"Tourism-sector learning; cultural tourism strategy; visitor experience",Request meeting on AFCON tourism readiness and attachment/shadowing options,"Formal intro letter; concept summary",Formal letter plus referral,Needs verification,,,,Not contacted,Find PS/technical department route,"Focus on learning how tourism sector is preparing."
High,Tourism,Uganda Tourism Board,Uganda,Kampala,Destination marketing; MICE; domestic/regional tourism,"Destination marketing; diaspora visitor experiences; cultural tourism",Request meeting with destination marketing or MICE team,"One-page profile; concept note",Warm intro or LinkedIn,Needs verification,,,,Not contacted,Identify official contact page and department,"Strong fit for AFCON visitor experience."
High,Culture,Uganda National Cultural Centre / National Theatre,Uganda,Kampala,Programming; theatre; cultural development,"Performance programming; choreography; youth mentorship; cultural showcase",Request programming discussion and possible collaboration,"One-page profile; portfolio link; concept note",Creative-sector intro,Needs verification,,,,Not contacted,Identify programming contact,"Best cultural institution entry point."
Medium,Culture,Uganda Museum,Uganda,Kampala,Education; exhibitions; visitor learning,"Heritage storytelling; visitor orientation; cultural routes",Request learning visit and cultural tourism discussion,"One-page profile; concept summary",Formal letter,Needs verification,,,,Not contacted,Identify public programmes contact,"Useful for visitor storytelling and cafe-arts heritage angle."
High,City Government,Kampala Capital City Authority,Uganda,Kampala,Events; culture; tourism; city beautification,"City activations; fan routes; public cultural programming",Request guidance on city activation and public event opportunities,"Formal intro letter; concept note",Formal letter plus referral,Needs verification,,,,Not contacted,Identify events/culture/tourism contact,"Kampala likely central to visitor movement."
Medium,City Government,Entebbe Municipal Council / local tourism actors,Uganda,Entebbe,Hospitality; airport corridor; city tourism,"Airport visitor welcome; hotel cultural nights; tourism orientation",Request referral to tourism/hospitality contacts,"Concept summary; one-page profile",Local referral,Needs verification,,,,Not contacted,Map hotels and venues,"Entebbe may matter for arrival and accommodation flows."
High,Hospitality,Kampala Serena Hotel,Uganda,Kampala,Events; sales; guest experience,"VIP hospitality cultural activation; cultural evening; diaspora reception",Request meeting with events/marketing team,"One-page profile; concept note",Warm intro,Needs verification,,,,Not contacted,Verify correct department,"Private sector may move faster than government."
High,Hospitality,Sheraton Kampala Hotel,Uganda,Kampala,Events; sales; guest experience,"Hotel cultural nights; sponsor receptions; guest entertainment",Request meeting with events/marketing team,"One-page profile; concept note",Warm intro,Needs verification,,,,Not contacted,Verify correct department,"Target as hospitality pilot route."
